ID,City or FUA,Region,Name (short English title),Native language title,Short description of the intervention,Website of the intervention,Climate-related ambition and performance ,Land surface temperature,Carbon storage,Stormwater holding capacity,Biodiversity-related ambition and performance,Coastal habitat,Green/Blue Area Fraction,Protected Area,Social justice-related ambition and performance, Inclusiveness of project beneficiaries,Population access,Recreation potential,"Alignment of NBS Targets with Climate, Biodiversity, and Social Objectives ",Diversity of stakeholder involvement,Long-term perspective,Potential for high-quality project result delivery,Climate,Biodiversity,Social Justice,Transformative Potential
14,Fort-de-France (FUA),Latin America and the Caribbean,Trénnelle-Citron Experimental Garden,Jardin urbain expérimental de Trénelle-Citron,"Trénelle-Citron, located north of downtown Fort-de-France and separated by the city bypass, La Rocade, was originally established in the 1940s by Black Martinicans migrating from rural areas. Today, the neighborhood faces significant economic and social challenges.  In 2016, young residents from the neighborhood alongside a local NGO launched a grassroots initiative to improve their community. They transformed a former municipal quarry, which had deteriorated into an informal dump, into a thriving shared urban garden, benefiting the local population. This project, based on traditional ecological gardening techniques and the cultivation of native crops, aimed to revitalize Trénelle-Citron—a densely populated area grappling with social exclusion, a shortage of green spaces, and limited economic opportunities for its youth (Ref 2).

The garden, developed on municipal land with guidance from the Ypiranga Martinique NGO, support from the local school, and collaboration from various stakeholders, now plays a vital role in the area. It raises awareness about agroecology, offers socioeconomic opportunities, promotes healthier lifestyles, and fosters social connections among residents. Spanning approximately 1,000 m², the site includes an office, a covered area, tool storage containers, market garden plots, a composting area, and a chicken coop managed by a local resident (Ref 7). In Martinique, such shared urban gardens are increasingly seen as important tools for sustainable development (Ref 5).",https://www.ypirangamartinique.fr/,1,1,3,2,3,0,2,1,4,4,2,2,2,2,3,4,7,6,12,11
15,Phoenix (FUA),Northern America,The Republic Services Garden,The Republic Services Garden,"The Republic Services Garden is a one-acre garden created and located in Hance Park, a large urban park located in downtown Phoenix, Arizona. As part of the larger revitalization of the park, the garden was created to showcase native desert plants, recycled materials, and shaded seating, serving as a model for eco-friendly urban landscaping. Its key goals are to enhance the park's appeal, create a welcoming community space, and demonstrate the potential of sustainable design in cities. By blending nature with urban infrastructure, the garden helps mitigate the urban heat island effect, addresses water scarcity, and supports habitat restoration. The project is a collaboration between the City of Phoenix and the Phoenix Parks and Recreation Department, with financial backing from Republic Services, the second-largest waste disposal company in the U.S. (Refs. 1, 5, 7, 12, 15).",https://hanceparkphx.org/news,2,2,4,2,4,0,2,1,4,3,2,1,3,3,3,4,10,7,10,13
17,Iaşi (FUA),Europe,Rehabilitation and modernization of Rosetti leisure area,Reabilitare și modernizare zona de agrement C.A Rosetti,"Iasi has limited access to green-blue open spaces and fails to meet national and European standards for per capita green space and proximity to larger green areas. Additionally, the city experiences significant fragmentation in its green spaces. To address these issues, the municipality of Iasi launched a project in 2020 to restore a vacant and degraded area, transforming it into a park. Funded by European resources, the project aims to rehabilitate the neglected land by constructing a green park and introducing local vegetation. The primary goal is to provide a leisure and relaxation space for local citizens and visitors while improving the quality of the surrounding air by converting much of the terrain into green space. The vacant land is situated in the historic Ticau neighborhood, which has been affected by municipal neglect, characterized by poor infrastructure and limited connectivity to the city's main areas. Furthermore, the project aims to reduce the heat island effect by creating green oases in a city marked by many “hard surfaces,” such as paved areas, which contribute to this phenomenon expected to intensify in the coming years. Originally scheduled for completion by the end of 2022, the project has been delayed due to a lack of funds and is now expected to be finished by the end of 2024 (Refs 1, 2, 3, 4, 6, 7, 11).",https://www.ziaruldeiasi.ro/stiri/lansare-de-proiect-reabilitare-si-modernizare-zona-de-agrement-ca-rosetti-cod-smis-126442--252409.html,2,1,4,2,2,0,2,1,1,2,2,2,2,3,2,2,9,5,7,9
18,Berlin (FUA),Europe,Patch of Heaven,himmelbeet,"The himmelbeet is an intercultural, inclusive community garden in Berlin that has been inviting people to garden and harvest their own produce since 2013. The garden offers around 200 raised beds that are communal and can be rented by neighbors, individuals and institutions (Ref. 1; Ref. 3). The project aims to familiarize children and adults with ecology, sustainability and healthy eating and to offer space for social exchange and education, while being inclusive to people with different (dis)abilities and backgrounds (Ref. 2; Ref. 6). The design and implementation of environmental education workshops are a vital part of the work. (Ref. 1; Ref. 6) With its own café and vegetable production, himmelbeet is strongly oriented towards the principles of the economy for the common good. The garden team also looks after other gardens in the city - on behalf of educational institutions, social institutions, housing associations and neighborhoods. (Ref. 1; Ref. 6) 
Originally located in Ruheplatzstrasse, the garden moved in 2021 to Gartenstrasse, because of land disputes with the providing land owners and the demand of the space for other social projects. (Ref. 8; Ref. 11)",https://himmelbeet.de/,1,1,4,2,4,0,2,1,4,3,3,1,3,2,2,3,8,7,11,10
19,Detroit (FUA),Northern America,Sacred-Heart Church Parking Lot Retrofit,NA,"The Sacred Heart Church, a historical landmark in Detroit's Eastern Market since 1875, faced persistent stormwater and surface flooding issues. The church's parking lot, once marked by cracked concrete and stagnant water, has been transformed through an innovative Green Stormwater Infrastructure (GSI) retrofit. GSI leverages natural processes to manage stormwater, using plants to absorb, retain, and slow runoff. This retrofit, a collaboration between The Nature Conservancy and the parish, stands as one of Detroit's largest GSI projects at a faith-based institution. By introducing bioretention gardens filled with native plants, the project manages runoff from 1.4 acres of impervious surfaces and diverts 1.5 million gallons of water annually from the sewer system. This green space not only mitigates flooding and reduces combined sewer overflows (CSOs) but also provides a cooling effect, enhances community recreation, and significantly cuts the parish's drainage charges by 49%.(Ref.1,2,3)",https://detroitstormwater.org/projects/sacred-heart-church-parking-lot-gsi-retrofit-2,4,2,1,2,4,0,2,1,2,2,2,1,2,2,3,4,9,7,7,11
20,Mobile (FUA),Northern America,Keep Mobile Beautiful - Urban orchard,Keep Mobile Beautiful - Urban orchard,"The project consists in creating an urban orchard at a juvenile detention center. Strickland Youth Center welcomes troubled youth with the final aim of the intervention is to ensure a successful reintegration of youth into the community (Ref 4). The orchard is aimed to be maintained by the youth of the center, providing them with skills and preparing them for the job market (Ref 2). The orchard harvests will provide healthy food options for low-income and minority residents (Ref 1) in the surrounding neighbourhood that has been identified as a food desert (lack of nutritional options available) (Ref 2). The project also has an educational purpose on healthy food for the youth and residents (Ref 3). Besides, the orchard's green space aims to contribute to beautification (Ref 1) and to sequester carbon dioxide (Ref 1).",https://keepmobilebeautiful.org/wp/beautiful-things/2019-keep-america-beautiful-community-tree-planting-grant-and-alabama-power-foundations-grass-roots-program/,2,3,2,2,1,1,2,1,2,3,2,1,2,3,1,2,9,5,8,8
21,Fort-de-France (FUA),Latin America and the Caribbean,Mangrove Protection Project for Etang Z’Abricots Marina,Projet Z’AB – Projet d’expérimentation de la mangrove pour la protection du port de plaisance de l’Etang Z’Abricots,"Trade winds from the east over the Bay of Fort-de-France increase agitation at the ""Étang Z’Abricots"" marina, reducing user comfort and raising maintenance costs for port equipment and vessels. Climate change worsen these problems, increasing the risks of coastline erosion, extreme weather events, and rising sea levels, which may diminish the protective effect of ""Pointe des Sables,"" leaving the marina more exposed to the winds (Ref 1; 2).

The Z’AB project aims to address these challenges by creating a protective barrier for the port by using mangroves. This involves installing lightweight, reversible devices to elevate the sea floor and accumulate sediments, encouraging the natural colonization of mangroves south of Pointe des Sables. Natural colonization refers to the growth of mangroves through processes like seed dispersal and sediment buildup. Once established, the mangrove will act as a natural buffer, protecting the marina from rough seas and adapting to rising sea levels. The project also includes educational efforts to raise awareness about the importance of mangroves for the region’s environmental issues and biodiversity (Ref 1).

Although the Z’AB project has been in planning since 2018, in 2021, a separate project to extend the marina, costing 7 million euros, was approved by the water park authorities (Ref 5). The extension will add 77 new vessel spaces (Ref 7), but it threatens portions of the mangrove and a strictly protected coral species, Oculina Diffusa, found in the area (Ref 6, p.17). While the marina extension project aims to offset the loss of coral and mangrove with various solutions, ""Projet Z'AB"" is not explicitly mentioned as a compensation mechanism (Ref 6, p.24). However, stakeholders involved in Projet Z'AB are also participating in the development of the marina extension (Ref 6). It remains unclear to what extent Projet Z'AB will be used to mitigate the environmental impact of the extension.",https://francevilledurable.fr/realisations/projet-zab-projet-dexperimentation-dune-solution-technique-basee-sur-la-nature-mangrove-pour-la-protection-du-port-de-plaisance-de-letang-zabricots-martinique/,2,1,1,3,2,1,3,2,1,2,2,1,4,4,2,2,7,8,6,12
22,Cagliari (FUA),Europe,PON Metro Cagliari - Green Areas,PON Metro Cagliari - Aree Verdi,"In January 2024, the municipality of Cagliari inaugurated three new green areas in the city, adding five and a half hectares of green spaces for residents to enjoy. These areas are located between Keplero, Avicenna, and Parigi streets, not far from the city center (Refs. 1 & 2).
The primary goal of this initiative is to mitigate the effects of climate change, particularly rising temperatures. The green areas are designed to reduce the city's heat island effect and contribute to carbon sequestration. The planting of new trees will also help maintain ecosystems and improve environmental conditions in targeted areas . Special attention was given to soil quality, with most projects incorporating walkways equipped with drainage systems (Refs. 1, 2, & 4). Additionally, the new infrastructure aims to foster social engagement and attract more citizens, who will benefit from these improvements.  (Refs. 1 & 2). 
This initiative is also expected to boost the local economy by encouraging the development of small complementary services (Ref. 3). It is part of a larger municipal project co-funded by the EU.",https://www.comune.cagliari.it/portale/page/it/ponmetrocagliari,2,1,1,2,4,1,2,1,4,2,3,2,3,1,3,3,6,8,11,10
24,Dublin (FUA),Europe,Dublin’s Darndale Park,NA,"This project aimed to create an urban forest that will grow within Dublin’s Darndale Park, which is popular among students and sports clubs. The objective is to offer the community a green area where they can gather, appreciate nature, and enhance their knowledge about it. The new forest will act as a windbreak for the nearby fishing pond and aims to address challenges related to  heatwaves that endanger the lives of young and elderly people. To foster a sense of inclusion and unity, the forest is designed in a doughnut shape, consisting of 3,000 native species like oaks, birch, willow, and hazel, with the trees forming the outer ring (1, 2). This urban forestation initiative is a component of the Uforest project, which is funded by the European Commission and supported by Etifor (environmental consulting company established within the Department of Land, Environment, Agriculture and Forestry of the University of Padua) and Ersaf (an instrumental body of the Lombardy Region) . The Uforest project seeks to enhance Europe's innovation capacity by fostering collaboration among universities, cities, and businesses to develop a novel approach to urban forestry (1).",https://www.wownature.eu/en/wow-area/darndale-donut/,2,2,3,2,3,0,2,1,2,2,3,1,3,4,3,3,9,6,8,13
25,Lisboa (FUA),Europe,Lisbon Cold Greenhouse,Estufa Fria de Lisboa,"The Estufa Fria de Lisboa (Cold Greenhouse of Lison), located on the south-facing slope of Park Eduardo VII in Lisbon and part of the city's green corridor (Corredor Verde de Monsanto)  aims to integrate leisure, culture, and education opportunities to promote plant biodiversity conservation within a sustainability framework (Ref. 1). Cold Greenhouse refers to the fact that there is no heating system on the premises, and it also refers to one of the three gardens (Ref. 5). The greenhouses were created in an old quarry dedicated to rock extraction, and these lush gardens are now comprised of three distinct greenhouse environments: cold, warm, and sweet (Ref. 1). These greenhouses collectively house over 300 plant species from diverse continents, including rare species (Ref. 2). 
The garden's design integrates natural water features, with watercourses and waterfalls and statuary elements. Since the opening of its Interpretation Center in 2016, the Estufa Fria has expanded its role as an educational resource, hosting exhibitions and activities related to botany and urban green structures. Since 2016 the project has been focused on its educative agenda with the development of a set of pedagogical resources for  preschoolers, students from ages 6 to 12 years old and their teachers, and with guided visits. (Ref 1, 2)",https://estufafria.lisboa.pt/sobre-nos/quem-somos,1,3,4,2,4,0,2,1,1,2,3,1,3,2,2,1,10,7,7,8
26,Göteborg (FUA),Europe,Opalparken,Opalparken,"As part of the development of the neighbourhood around Opaltorget in Tynneryd, Gothenburg, a park has been thoroughly renovated. The area is being developed and renovated as part of a long-term, large-scale project to become more attractive, safe, and sustainable [Ref. 1]. The area has previously been classified as an exposed area, indicating socio-economic problems and relatively high crime rates [Ref. 7, 8]. The old park was considered an important part of the neighbourhood but was sometimes perceived as being unsafe or being used mainly as a passage area. The renovation aims to make the park safer, more attractive, and more accessible to residents [Ref. 1, 3]. The new park includes a playground, recreational areas, rainwater management and a diverse tree population promoting the delivery of several ecosystem services [Ref. 2]. Around the park, new residential buildings and a kindergarten have been constructed, and the adjacent square, a central spot of the neighbourhood for business and social interactions, has been renovated [Ref. 2, 4, 8, 10]",https://goteborg.se/wps/portal/aktuelltarkivet/aktuellt/7946bcd8-b234-430a-b103-28601e86c60b,4,1,1,2,3,0,2,1,4,2,3,1,2,3,2,4,8,6,10,11
27,Birmingham (FUA),Europe,Library of Birmingham’s rooftop secret garden,NA,"Birmingham faces several immediate risks due to climate change, including heatwaves, water shortages from droughts, floods, and extreme weather (Ref 11). To address these challenges, Birmingham City Council has set a goal to reduce carbon emissions by 60% by 2027. As part of this effort, the new Birmingham Library project, initiated by the council, includes a rooftop garden designed to contribute to this target (Ref 3). The library was designed by the Dutch firm Mecanoo Architecten, with a design process spanning from 2008 to 2012 (Ref 5). The two outdoor rooftop gardens, located on levels 3 and 7, were completed in 2013 (Ref 1). These gardens provide green spaces in the city center, enhance water management through rainwater harvesting, serve as educational facilities for sustainable food innovation, and create natural habitats for wildlife (Ref 1, 3, 4, 6). Their contributions helped the library achieve a BREEAM 'Excellent' rating and have garnered various awards (Ref 1, 10). The new library aligns with Birmingham City Council's Big City Plan to regenerate the city center, with the green roof gardens playing a key role (Ref 4).",https://www.birmingham.gov.uk/info/50132/visiting_the_library_of_birmingham/1412/about_the_library_of_birmingham/8,4,3,1,2,2,0,2,1,2,4,3,1,4,2,4,3,10,5,10,13
28,Tbilisi (FUA),Europe,Meama Coffee Factory Green Roof,NA,"The Meama Coffee Factory incorporates ecological elements and functionality with architectural design to create a visually striking building. By doing so, the developers respond to requirements set by the city of Tbilisi for a factory that blends into the peri-urban landscape while avoiding the typical industrial appearance. This requirement corresponds to the architect's values of creating a sustainable and durable structure, implemented through multiple measures (Ref. 1,2). Firstly, a 3,680 square meter green roof has been installed, fully covered with local wild grasses and plants (Ref. 1). This green roof serves multiple purposes: it acts as a thermal barrier, reducing the need for additional roof insulation, mitigates noise pollution from the nearby airport and serves as a recreational and meeting area for visitors and employees (Ref. 1,2,3,4). The factory area also features a pine forest to its backside as well as multiple inside atriums covered in greenery (Ref. 2,3).
Lastly, building materials and installation methods have been selected to ensure the durability of the project, such as roofing membranes that withstand root penetration as well as reinforced concrete structures that are waterproofed and protected against corrosion (Ref. 4&5)",https://giorgikhmaladze.com/projects/Coffee_Production_Plant_Meama,2,2,4,2,4,0,2,1,4,3,2,1,2,1,2,1,10,7,10,6
29,Phoenix (FUA),Northern America,Spaces of Opportunity,NA,"Spaces of Opportunity is an initiative created by several organizations in Phoenix, that aims to bring food security and sustainability to the south Phoenix community. The initiative aims to reach its goals through its community garden that incorporates 19 acres of barren land (dessert) that can be used by locals for growing food and earning an income while providing the community organically grown produce. The mission is to enable all South Phoenix families to have affordable access to healthy food, active living and healthy roots of their cultures (1, 2, 4, 6, 8).
The initiative started in 2011 when several local actors formed a coalition with a shared vision of improving well-being by addressing the natural, built, and social environments. Spaces of Opportunity is the only local food system of its kind in the Phoenix metropolitan area, and unique in the country for the diverse strengths of the committed partner organizations and their shared vision to bring food security, build sustainability, and cultivate community. (8)",https://www.spacesofopportunity.org/,1,1,2,4,3,0,4,1,4,2,3,3,2,3,2,4,8,8,12,11
30,Dublin (FUA),Europe,NatureRx Rain Garden Pilot,NA,"The NatureRx Rain Garden Pilot is a community-driven initiative aimed at addressing urban runoff and its associated challenges, implemented by Bí URBAN,  a community hub and social enterprise in Dublin focused on urban regeneration. The pilot project developed in Stoneybatter, Dublin  involves diverting rainwater from residential rooftops into specially designed rain gardens (1). The area is used as the first trial area by installing around 100 rain gardens (3, 11). Built to fit neatly into available spaces, these self-sustaining planters will filter rainwater through the garden, with overflow pipes in place to prevent flooding during heavy downpours (1).
It is expected that these gardens will transform sterile urban spaces into green areas, enhancing biodiversity, providing habitats for pollinators, and acting as carbon sinks (1,3).",https://www.biurban.ie/rain-garden-project,2,1,4,4,2,1,4,1,2,3,4,3,4,4,2,1,11,8,12,11
31,Lima (FUA),Latin America and the Caribbean,In-Line Gardens,Huertos en Línea,"Lima is grappling with significant challenges driven by climate change, and one of the pressing issues is the shortage of green spaces. According to the PLAM 2035 report, Lima offers only 3.1 square meters of green area per inhabitant, well below the World Health Organization's recommendations (2). Moreover, food insecurity is on the rise, with Peru leading the region in this crisis (4). Compounding these issues is the lack of coordination among state actors tasked with addressing the country's food crisis (2).
In response to these challenges, the Energy Network of Peru (ISA REP) has been running the ""Huertos en Línea"" project since 2004 in the districts of Villa María del Triunfo and San Juan de Miraflores as part of its corporate social responsibility initiatives (2, 3, 6). This project aims to establish community gardens that promote environmental awareness, reduce pollution in these affected areas (1, 2), provide food for vulnerable populations, and create income-generating opportunities through the sale of surplus produce (1, 6). The gardens are strategically located in power grid easement strips, which are often plagued by encroachment, burning, and waste accumulation—issues exacerbated by poverty, extreme poverty, and weak social organization in these areas (5, 6).
Originally planned with an annual development and growth strategy up to 2011, the project has been extended year by year and has now been active for nearly two decades. Beneficiaries continue to receive technical and material support, and the number of community gardens has grown. In 2019, the initiative expanded to include two bio-gardens in the Trujillo districts of La Esperanza and El Porvenir (7, 9). The project has contributed to improving soil quality, recycling and transforming waste, enhancing landscape aesthetics, reducing burning and waste accumulation, and implementing drip irrigation systems.",https://www.snmpe.org.pe/repositorio-premio-al-desarollo-sostenible/82-2009/4406-huertos-en-linea.html,3,1,1,3,4,0,3,1,4,2,4,1,3,3,2,4,8,8,11,12
